2026-03-10 16:10:16,779 | INFO | get_bs_data | 启动进程 6308，处理 62268 个任务，预估成本=7578396.1
2026-03-10 16:11:18,339 | WARNING | get_bs_data | 任务池长时间无durable进度 idle=60.7s completed=0/373605 alive_processes=6 by_freq=d:tasks=0,rows=0, w:tasks=0,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:12:19,292 | WARNING | get_bs_data | 任务池长时间无durable进度 idle=121.6s completed=0/373605 alive_processes=6 by_freq=d:tasks=0,rows=0, w:tasks=0,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:13:17,816 | ERROR | get_bs_data | 任务池无durable进度超过阈值: idle=180.1s completed=0/373605，终止当前批次尝试
2026-03-10 16:13:17,837 | INFO | get_bs_data | 进程 22480 已关闭
2026-03-10 16:13:17,853 | INFO | get_bs_data | 进程 25440 已关闭
2026-03-10 16:13:17,871 | INFO | get_bs_data | 进程 24140 已关闭
2026-03-10 16:13:17,888 | INFO | get_bs_data | 进程 39260 已关闭
2026-03-10 16:13:17,905 | INFO | get_bs_data | 进程 27716 已关闭
2026-03-10 16:13:17,921 | INFO | get_bs_data | 进程 6308 已关闭
2026-03-10 16:13:21,060 | ERROR | get_bs_data | run pending tasks failed: 任务池无durable进度超过阈值: idle=180.1s completed=0/373605
Traceback (most recent call last):
  File "c:\Users\sida\Desktop\get_bs_data\get_bs_data.py", line 1378, in run_pending_tasks
    final_totals = self._run_task_pool(normalized_tasks, tasks_file, run_stage_dir)
  File "c:\Users\sida\Desktop\get_bs_data\get_bs_data.py", line 1328, in _run_task_pool
    raise stall_error
get_bs_data.BatchStalledError: 任务池无durable进度超过阈值: idle=180.1s completed=0/373605
2026-03-10 16:30:40,848 | INFO | get_bs_data | init_db start path=D:\quant.duckdb
2026-03-10 16:30:40,968 | INFO | get_bs_data | init_db done path=D:\quant.duckdb ms=109
2026-03-10 16:30:40,968 | INFO | get_bs_data | main db path=D:\quant.duckdb
2026-03-10 16:30:46,296 | INFO | get_bs_data | 开始处理 373605 个任务 freqs=['d', 'w', '15', '30', '60']
2026-03-10 16:30:46,336 | INFO | get_bs_data | 开始任务池 attempt=1/3 tasks=373605 processes=6 freqs=['d', 'w', '15', '30', '60']
